"Bright Ledger Coffee Roasters, LLC"
Transaction Detail by Account
"January 1 - March 31, 2025"

Date,Transaction Type,Num,Name,Memo/Description,Account,Split,Amount
01/10/2025,Credit Card Expense,T0191,Staples,Office/shop supplies,Office Supplies,Credit Card,168.48
01/10/2025,Sales Receipt,T0310,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,396.34)"
01/10/2025,Sales Receipt,T0332,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,606.03)"
01/10/2025,Sales Receipt,T0420,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,192.03)"
01/10/2025,Credit Card Expense,T0466,Amazon,Shop supplies,Office Supplies,Credit Card,273.79
01/11/2025,Bill,T0077,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,934.59
01/11/2025,Expense,T0276,Square,Card processing fee,Merchant Account Fees,Checking,40.34
01/11/2025,Sales Receipt,T0423,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,918.35)"
01/12/2025,Expense,T0265,Square,Card processing fee,Merchant Account Fees,Checking,44.29
01/12/2025,Expense,T0281,Square,Card processing fee,Merchant Account Fees,Checking,45.89
01/12/2025,Sales Receipt,T0367,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(897.58)
01/12/2025,Sales Receipt,T0383,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(726.93)
01/13/2025,Bill,T0041,Highland Bean Co,Green coffee purchase,Cost of Goods Sold,Accounts Payable,705.77
01/13/2025,Bill,T0095,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,874.16
01/13/2025,Sales Receipt,T0296,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,881.99)"
01/13/2025,Sales Receipt,T0322,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(2,100.42)"
01/13/2025,Sales Receipt,T0415,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,960.96)"
01/13/2025,Credit Card Expense,T0430,Staples,Shop supplies,Office Supplies,Credit Card,91.57
01/14/2025,Bill,T0134,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,690.91
01/14/2025,Bill,T0135,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,008.55"
01/14/2025,Sales Receipt,T0362,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,929.69)"
Total Rent Expense,,,,,,,"13,500.00"
01/14/2025,Credit Card Expense,T0484,Amazon,Dual 4K monitors + stands,Office Supplies,Credit Card,"3,200.00"
01/15/2025,Bill,T0064,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,373.27"
01/15/2025,Credit Card Expense,T0163,Staples,Office/shop supplies,Office Supplies,Credit Card,95.36
01/15/2025,Sales Receipt,T0384,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,176.75)"
01/15/2025,Credit Card Expense,T0479,Amazon,Shop supplies,Office Supplies,Credit Card,112.79
01/16/2025,Credit Card Expense,T0174,Costco,Office/shop supplies,Office Supplies,Credit Card,319.01
01/16/2025,Credit Card Expense,T0199,Staples,Office/shop supplies,Office Supplies,Credit Card,81.34
01/16/2025,Sales Receipt,T0289,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,670.44)"
01/16/2025,Sales Receipt,T0385,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,530.65)"
01/16/2025,Credit Card Expense,T0470,Staples,Shop supplies,Office Supplies,Credit Card,154.26
01/16/2025,Check,T0499,IRS,Estimated federal tax payment,Income Tax Expense,Checking,"5,000.00"
01/17/2025,Expense,T0005,Gusto Payroll,Payroll run,Payroll Expenses,Checking,"11,620.01"
01/17/2025,Bill,T0079,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,922.81
01/17/2025,Bill,T0124,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,110.05"
01/17/2025,Bill,T0141,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,477.78"
01/17/2025,Bill,T0147,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,739.08
01/17/2025,Credit Card Expense,T0238,Staples,Office/shop supplies,Office Supplies,Credit Card,247.53
01/17/2025,Sales Receipt,T0302,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,511.95)"
01/17/2025,Sales Receipt,T0413,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,254.35)"
01/17/2025,Credit Card Expense,T0459,Amazon,Shop supplies,Office Supplies,Credit Card,321.98
01/18/2025,Bill,T0058,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,942.87
01/18/2025,Credit Card Expense,T0228,Staples,Office/shop supplies,Office Supplies,Credit Card,96.34
01/18/2025,Sales Receipt,T0393,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,941.65)"
01/19/2025,Sales Receipt,T0338,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(435.68)
01/19/2025,Sales Receipt,T0391,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,028.81)"
01/19/2025,Sales Receipt,T0418,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,078.96)"
01/19/2025,Credit Card Expense,T0438,Amazon,Shop supplies,Office Supplies,Credit Card,182.96
01/20/2025,Bill,T0111,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,726.38
01/20/2025,Bill,T0151,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,351.07"
01/20/2025,Credit Card Expense,T0211,Amazon,Office/shop supplies,Office Supplies,Credit Card,158.74
01/20/2025,Credit Card Expense,T0212,Costco,Office/shop supplies,Office Supplies,Credit Card,106.33
01/20/2025,Sales Receipt,T0312,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,841.17)"
01/20/2025,Sales Receipt,T0337,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(2,025.98)"
01/20/2025,Sales Receipt,T0386,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,246.91)"
01/20/2025,Credit Card Expense,T0483,Staples,Shop supplies,Office Supplies,Credit Card,243.03
01/20/2025,Transfer,T0487,Owner Capital Contribution,Round funding to operating acct,Owner's Equity,Checking,"10,000.00"
01/21/2025,Bill,T0060,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,864.38
01/21/2025,Bill,T0072,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,448.85"
01/21/2025,Bill,T0142,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,886.02
01/21/2025,Credit Card Expense,T0242,Staples,Office/shop supplies,Office Supplies,Credit Card,73.51
01/21/2025,Sales Receipt,T0325,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(755.74)
01/21/2025,Sales Receipt,T0381,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(890.43)
01/22/2025,Credit Card Expense,T0185,Costco,Office/shop supplies,Office Supplies,Credit Card,66.29
01/22/2025,Credit Card Expense,T0224,Staples,Office/shop supplies,Office Supplies,Credit Card,325.06
01/22/2025,Sales Receipt,T0339,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,805.99)"
01/23/2025,Bill,T0152,Highland Bean Co,Green coffee purchase,Cost of Goods Sold,Accounts Payable,427.26
01/23/2025,Credit Card Expense,T0179,Costco,Office/shop supplies,Office Supplies,Credit Card,216.42
01/23/2025,Sales Receipt,T0298,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(874.31)
01/23/2025,Sales Receipt,T0355,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,193.95)"
01/24/2025,Credit Card Expense,T0435,Amazon,Shop supplies,Office Supplies,Credit Card,94.27
01/25/2025,Bill,T0100,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,893.47
01/25/2025,Credit Card Expense,T0159,Staples,Office/shop supplies,Office Supplies,Credit Card,141.76
01/26/2025,Bill,T0071,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,811.31
01/26/2025,Credit Card Expense,T0189,Amazon,Office/shop supplies,Office Supplies,Credit Card,47.57
01/26/2025,Expense,T0245,Square,Card processing fee,Merchant Account Fees,Checking,22.98
01/26/2025,Sales Receipt,T0335,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,107.76)"
01/26/2025,Credit Card Expense,T0461,Amazon,Shop supplies,Office Supplies,Credit Card,283.82
01/27/2025,Sales Receipt,T0323,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,488.48)"
01/28/2025,Bill,T0051,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,364.00"
01/28/2025,Bill,T0092,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,545.54
01/28/2025,Bill,T0128,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,691.72
01/28/2025,Credit Card Expense,T0184,Costco,Office/shop supplies,Office Supplies,Credit Card,186.69
01/28/2025,Expense,T0271,Square,Card processing fee,Merchant Account Fees,Checking,52.26
01/28/2025,Sales Receipt,T0293,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,703.35)"
01/29/2025,Bill,T0048,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,756.71
01/29/2025,Bill,T0086,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,771.89
01/29/2025,Bill,T0088,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,478.09
01/29/2025,Credit Card Expense,T0196,Amazon,Office/shop supplies,Office Supplies,Credit Card,289.27
01/29/2025,Credit Card Expense,T0467,Costco,Shop supplies,Office Supplies,Credit Card,264.51
01/29/2025,Credit Card Expense,T0475,Costco,Shop supplies,Office Supplies,Credit Card,59.60
01/30/2025,Credit Card Expense,T0158,Amazon,Office/shop supplies,Office Supplies,Credit Card,47.34
01/30/2025,Credit Card Expense,T0473,Staples,Shop supplies,Office Supplies,Credit Card,47.76
01/31/2025,Expense,T0006,Gusto Payroll,Payroll run,Payroll Expenses,Checking,"11,820.02"
01/31/2025,Bill,T0076,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,441.64"
01/31/2025,Bill,T0091,Highland Bean Co,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,135.88"
01/31/2025,Bill,T0105,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,847.06
01/31/2025,Bill,T0118,Highland Bean Co,Green coffee purchase,Cost of Goods Sold,Accounts Payable,531.88
01/31/2025,Credit Card Expense,T0188,Costco,Office/shop supplies,Office Supplies,Credit Card,136.23
01/31/2025,Expense,T0278,Square,Card processing fee,Merchant Account Fees,Checking,87.51
01/31/2025,Credit Card Expense,T0437,Staples,Shop supplies,Office Supplies,Credit Card,322.98
Total Utilities,,,,,,,"3,200.00"
01/31/2025,Check,T0489,John Bright,Owner draw - January,Owner's Draw,Checking,"6,000.00"
01/31/2025,Journal Entry,T0492,,Monthly depreciation - equipment,Depreciation Expense,Accumulated Depreciation,"12,000.00"
02/01/2025,Bill Payment,T0002,Prime Property Mgmt,Monthly studio rent,Rent Expense,Checking,"4,500.00"
02/01/2025,Credit Card Expense,T0016,QuickBooks Online,Monthly subscription,Dues & Subscriptions,Credit Card,85.27
02/01/2025,Credit Card Expense,T0017,Slack,Monthly subscription,Dues & Subscriptions,Credit Card,116.99
02/01/2025,Credit Card Expense,T0018,Google Workspace,Monthly subscription,Dues & Subscriptions,Credit Card,73.50
02/01/2025,Credit Card Expense,T0019,Adobe,Monthly subscription,Dues & Subscriptions,Credit Card,55.45
02/01/2025,Credit Card Expense,T0020,Shopify,Monthly subscription,Dues & Subscriptions,Credit Card,102.20
02/01/2025,Bill Payment,T0029,City Power & Light,Monthly utility,Utilities,Checking,297.12
02/01/2025,Bill Payment,T0030,Metro Water,Monthly utility,Utilities,Checking,74.64
02/01/2025,Bill Payment,T0031,Comcast Business,Monthly utility,Utilities,Checking,141.93
02/01/2025,Bill,T0046,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,908.49
02/01/2025,Bill,T0102,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,887.44
02/01/2025,Bill,T0149,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,513.07
02/01/2025,Bill,T0154,Highland Bean Co,Green coffee purchase,Cost of Goods Sold,Accounts Payable,575.12
02/01/2025,Credit Card Expense,T0190,Staples,Office/shop supplies,Office Supplies,Credit Card,229.49
02/01/2025,Credit Card Expense,T0194,Amazon,Office/shop supplies,Office Supplies,Credit Card,243.38
02/01/2025,Credit Card Expense,T0206,Costco,Office/shop supplies,Office Supplies,Credit Card,125.97
02/01/2025,Expense,T0247,Square,Card processing fee,Merchant Account Fees,Checking,25.70
02/01/2025,Expense,T0264,Square,Card processing fee,Merchant Account Fees,Checking,102.23
02/01/2025,Sales Receipt,T0314,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(525.06)
02/01/2025,Sales Receipt,T0390,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,167.89)"
02/02/2025,Credit Card Expense,T0240,Staples,Office/shop supplies,Office Supplies,Credit Card,92.01
02/02/2025,Credit Card Expense,T0439,Staples,Shop supplies,Office Supplies,Credit Card,119.15
02/03/2025,Bill,T0054,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,671.29
02/03/2025,Bill,T0068,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,238.16"
02/03/2025,Bill,T0138,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,937.39
02/03/2025,Credit Card Expense,T0164,Amazon,Office/shop supplies,Office Supplies,Credit Card,73.60
02/03/2025,Credit Card Expense,T0229,Staples,Office/shop supplies,Office Supplies,Credit Card,141.48
02/03/2025,Expense,T0272,Square,Card processing fee,Merchant Account Fees,Checking,50.74
02/03/2025,Sales Receipt,T0324,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,554.81)"
02/03/2025,Sales Receipt,T0333,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,796.87)"
02/03/2025,Sales Receipt,T0421,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(943.27)
02/04/2025,Bill,T0047,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,156.98"
02/04/2025,Bill,T0065,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,774.19
02/04/2025,Bill,T0136,Highland Bean Co,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,065.31"
02/04/2025,Expense,T0260,Square,Card processing fee,Merchant Account Fees,Checking,79.67
02/04/2025,Sales Receipt,T0388,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,089.43)"
02/04/2025,Credit Card Expense,T0463,Amazon,Shop supplies,Office Supplies,Credit Card,119.66
02/05/2025,Bill,T0140,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,403.90
02/05/2025,Credit Card Expense,T0208,Staples,Office/shop supplies,Office Supplies,Credit Card,64.02
02/05/2025,Expense,T0274,Square,Card processing fee,Merchant Account Fees,Checking,73.36
02/05/2025,Sales Receipt,T0294,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,676.71)"
02/05/2025,Sales Receipt,T0357,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(644.83)
02/05/2025,Sales Receipt,T0394,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,768.08)"
02/06/2025,Credit Card Expense,T0209,Amazon,Office/shop supplies,Office Supplies,Credit Card,124.23
02/06/2025,Sales Receipt,T0330,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,643.22)"
02/06/2025,Sales Receipt,T0377,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,132.42)"
02/06/2025,Credit Card Expense,T0428,Amazon,Shop supplies,Office Supplies,Credit Card,271.50
02/06/2025,Credit Card Expense,T0452,Amazon,Shop supplies,Office Supplies,Credit Card,228.19
02/06/2025,Bill,T0496,Precision Machine Works,Roaster drum rebuild,Repairs & Maintenance,Accounts Payable,"8,400.00"
02/07/2025,Bill,T0040,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,340.85"
02/07/2025,Bill,T0066,Highland Bean Co,Green coffee purchase,Cost of Goods Sold,Accounts Payable,573.97
02/07/2025,Sales Receipt,T0297,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(732.22)
02/07/2025,Sales Receipt,T0329,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(362.02)
02/07/2025,Sales Receipt,T0387,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,266.86)"
02/08/2025,Bill,T0070,Roaster's Supply,Green coffee purchase,Cost of Goods Sold,Accounts Payable,958.43
02/08/2025,Credit Card Expense,T0181,Staples,Office/shop supplies,Office Supplies,Credit Card,105.16
02/08/2025,Expense,T0248,Square,Card processing fee,Merchant Account Fees,Checking,104.28
02/08/2025,Sales Receipt,T0313,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(461.84)
02/08/2025,Sales Receipt,T0398,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,891.20)"
02/08/2025,Credit Card Expense,T0431,Amazon,Shop supplies,Office Supplies,Credit Card,54.26
02/08/2025,Credit Card Expense,T0443,Costco,Shop supplies,Office Supplies,Credit Card,338.23
02/08/2025,Credit Card Expense,T0445,Amazon,Shop supplies,Office Supplies,Credit Card,349.81
02/09/2025,Bill,T0083,Highland Bean Co,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,494.66"
02/09/2025,Expense,T0283,Square,Card processing fee,Merchant Account Fees,Checking,84.72
02/09/2025,Sales Receipt,T0288,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(777.67)
02/09/2025,Sales Receipt,T0320,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,380.40)"
02/09/2025,Credit Card Expense,T0485,Best Buy,Espresso-bar laptop + POS tablet,Computer & Internet Expenses,Credit Card,"4,800.00"
02/10/2025,Bill,T0050,Highland Bean Co,Green coffee purchase,Cost of Goods Sold,Accounts Payable,694.51
02/10/2025,Bill,T0052,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,120.98"
02/10/2025,Bill,T0122,Highland Bean Co,Green coffee purchase,Cost of Goods Sold,Accounts Payable,624.69
02/10/2025,Bill,T0123,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,692.18
02/10/2025,Credit Card Expense,T0166,Staples,Office/shop supplies,Office Supplies,Credit Card,227.92
02/10/2025,Credit Card Expense,T0210,Costco,Office/shop supplies,Office Supplies,Credit Card,64.98
02/10/2025,Sales Receipt,T0290,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(527.15)
02/11/2025,Credit Card Expense,T0176,Staples,Office/shop supplies,Office Supplies,Credit Card,256.13
02/11/2025,Expense,T0270,Square,Card processing fee,Merchant Account Fees,Checking,34.09
02/11/2025,Sales Receipt,T0348,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,447.06)"
02/11/2025,Sales Receipt,T0368,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(520.25)
02/11/2025,Sales Receipt,T0404,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,952.24)"
02/11/2025,Credit Card Expense,T0460,Costco,Shop supplies,Office Supplies,Credit Card,168.81
02/12/2025,Bill,T0153,Highland Bean Co,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,282.46"
02/12/2025,Credit Card Expense,T0187,Amazon,Office/shop supplies,Office Supplies,Credit Card,293.71
02/12/2025,Sales Receipt,T0361,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(910.01)
02/12/2025,Sales Receipt,T0363,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,"(1,082.13)"
02/12/2025,Credit Card Expense,T0494,ULINE,Bulk packaging one-time buy,Office Supplies,Credit Card,"2,200.00"
02/13/2025,Bill,T0099,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,673.52
02/13/2025,Bill,T0137,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,156.25"
02/13/2025,Sales Receipt,T0306,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(650.29)
02/13/2025,Credit Card Expense,T0465,Amazon,Shop supplies,Office Supplies,Credit Card,185.18
02/14/2025,Expense,T0007,Gusto Payroll,Payroll run,Payroll Expenses,Checking,"11,778.57"
02/14/2025,Bill,T0129,Andes Green Coffee,Green coffee purchase,Cost of Goods Sold,Accounts Payable,"1,367.20"
02/14/2025,Expense,T0251,Square,Card processing fee,Merchant Account Fees,Checking,70.94
02/14/2025,Sales Receipt,T0402,Cafe Sales,Daily retail sales,Sales,Undeposited Funds,(931.64)
